id,word_id,definition
204,203,To find the size and dimensions of something.
205,204,"Ordinary, average."
206,205,To fix.
207,206,A way of doing something.
208,207,To move from one place to another.
209,208,The smallest or lowest amount possible.
210,209,Giving the wrong idea.
211,210,To change.
212,211,"Gloomy, depressed."
213,212,"Lazy, neglectful."
214,213,"Indifferent, unexcited."
215,214,To follow orders or instructions.
216,215,To get.
217,216,Easily understood.
218,217,Someone on the opposite side for a game or contest.
219,218,To unfairly burden.
220,219,The source; where something began.
221,220,A typical example of something.
222,221,"Frugal, stingy."
223,222,To join in.
224,223,Preferring one option over others.
225,224,Something existing in very small amounts; scarcity.
226,225,The highest or most important point.
227,226,Located on the side or edge.
228,227,To penetrate or pass through.
229,228,"To continue, especially when facing opposition."
230,229,Relate.
231,230,A period or stage in a process.
232,231,A record of opinions or votes.
233,232,Powerful.
234,233,"Practical, sensible."
235,234,To give approval or admiration.
236,235,To come before.
237,236,Exact.
238,237,Having a high reputation.
239,238,Widespread.
240,239,First; most important.
241,240,Previous or earlier.
242,241,To continue doing something.
243,242,Offspring.
244,243,To further to progress of something.
245,244,To do well.
246,245,Nearness in time or space.
247,246,Disagreement or fight; to have an argument.
248,247,"The distance between two things, often the maximum and the minimum."
249,248,An official position or station.
250,249,To sternly disapprove or reprimand.
251,250,To give a brief summary.
252,251,To retreat.
253,252,To present someone with confidence and approval.
254,253,To make changes that improve something.
255,254,To supervise or control a process so that it functions correctly.
256,255,To strengthen with added support.
257,256,To say no to something that is offered.
258,257,To free; to allow to be known.
259,258,To depend on.
260,259,To express disapproval or disappointment.
261,260,To need for a specific purpose.
262,261,To feel bitterness or anger towards someone or something.
263,262,To give up an office or position.
264,263,To withstand the effect of.
265,264,To come to a firm decision.
266,265,To confine or keep within limits.
267,266,To continue to do something or keep something.
268,267,1. To draw back in.
269,267,2. To withdraw something after it’s found to be untrue.
270,268,To bring back.
271,269,Used just for style or impact.
272,270,Stiff; unyielding.
273,271,To turn.
274,272,Something that serves as protection or ensures safety.
275,273,To very carefully examine.
276,274,A part of the whole.
277,275,To choose.
278,276,Things that follow each other in a certain order.
279,277,1. Harsh or strict.
280,277,"2. Grave, critical."
281,278,Not deep.
282,279,To protect from something harmful.
283,280,To become smaller.
284,281,"Important, noteworthy."
285,282,"A person, place, or thing where something was obtained."
286,283,Thinly scattered.
287,284,To clearly indicate which one.
288,285,To form a theory without strong evidence.
289,286,Alone; without others.
290,287,Gloomy; depressing.
291,288,To calm or comfort.
292,289,Filthy and unpleasant.
293,290,Unlikely to change or fail.
294,291,"Sluggish, showing little movement."
295,292,A plan to reach a desired outcome.
296,293,Coming after something in time.
297,294,A person or thing acting in place of another.
298,295,Difficult to notice right away.
299,296,Enough to serve a particular purpose.
300,297,To briefly give the main points.
301,298,To oversee work or a process.
302,299,To take the place of something else.
303,300,1. To temporarily stop.
304,300,2. To hang something from somewhere.
305,301,Having the belief that someone is doing something dishonest or illegal.
306,302,To keep going.
307,303,Serving as a symbol.
308,304,Relating to a specific subject or craft.
309,305,Situated at the end.
310,306,To put up with.
311,307,To move from one place to another.
312,308,Changing from one state or condition to another.
313,309,1. See-through material.
314,309,2. Easy to detect.
315,310,The fee for instruction at a school.
316,311,Not attracting attention.
317,312,Unharmed.
318,313,Happy; optimistic.
319,314,Unfair.
320,315,To waver or be indecisive.
321,316,Just; well-founded.
322,317,To disappear quickly.
323,318,To be different from something else in a group.
324,319,A judgement or decision.
325,320,A small trace of something that is disappearing or has already disappeared.
326,321,A small container used to hold liquids.
327,322,To speak poorly of; to slander.
328,323,Taking up a lot of space.
329,324,On the contrary.
330,325,Completely.
331,326,Occurring over a large region.
332,327,To droop and become limp.
